SKU,Short description,Tags
STO-ITEM-2020-00564,<ul>\n<li>হিমালয়া এন্টি-হেয়ার ফল  শ্যাম্পু ২০০ মিলি</li>\n</ul>\n,"মসচারাইজিং,সেম্পু,shampu,himalay,enti,suthing"
STO-ITEM-2020-00565,<ul>\n<li> হিমালয়া নিম এন্ড টারমারিক সোপ ক্লিনসেস এন্ড পিউরিফাইস স্কিন ৭৫ গ্রাম</li>\n</ul>\n," বার,সাবান,soap,saban,bar,shaban"
STO-ITEM-2020-00566,<ul>\n<li> হিমালয়া মেন ফেস এন্ড বিয়ারড ওয়াশ ৪০ মিলি</li>\n</ul>\n,"ফেসওয়াশ,দারি,ওয়াশ,স্কিন,কেয়ার,facewash,facedari,skin care,skin"
STO-ITEM-2020-00567,<ul>\n<li>ওরকিড ওলিভ ওয়েল ২৫০ মিলি</li>\n</ul>\n,"অরকিড,অলিভ,অয়েল,তেল,orcide,oleve,tel"
STO-ITEM-2020-00568,<ul>\n<li>রিভাইভ পারফেক্ট স্কিন মসচারাইজিং লোশন ১০০ মিলি</li>\n</ul>\n,"লোসন,বডি লোসন,revive,rivive,parfect,loton,skin,skincare,"
STO-ITEM-2020-00569,<ul>\n<li>রিভাইভ পারফেক্ট স্কিন মসচারাইজিং লোশন ২০০ মিলি</li>\n</ul>\n,"লোসন,বডি লোসন,revive,rivive,parfect,loton,skin,skincare,"
STO-ITEM-2020-00570,<ul>\n<li>মেরিল বেবি লোশন ৫ এস্‌এনশিয়াল ময়েশ্চারাইজার ১০০ মিলি</li>\n</ul>\n,"বেবী,লোসন,বডি,babi,loton,skin,skincare,"
STO-ITEM-2020-00571,<ul>\n<li>মেরিল বেবি লোশন ৫ এস্‌এনশিয়াল ময়েশ্চারাইজার ২০০ মিলি</li>\n</ul>\n,"বেবী,লোসন,বডি,babi,loton,skin,skincare,"
STO-ITEM-2020-00572,<ul>\n<li>মেরিল রোজ ওয়াটার গ্লিসারিন ৬০ গ্রাম</li>\n</ul>\n,"স্কিন,maril,glicerin,skin,skincare"
STO-ITEM-2020-00573,<ul>\n<li>মেরিল পেট্রোলিয়াম জেলি উইথ লেমন এন্ড ভিটামিন সি ৫০ মিলি</li>\n</ul>\n,"লিপজেল,স্কিন,maril, jely,petolim jelly,skin,skincare"
STO-ITEM-2020-00574,<ul>\n<li>মেরিল পেট্রোলিয়াম জেলি উইথ লেমন এন্ড ভিটামিন সি ১০০ মিলি</li>\n</ul>\n,"লিপজেল,স্কিন,maril, jely,petolim jelly,skin,skincare"
STO-ITEM-2020-00575,<ul>\n<li>নিভিয়া এক্সপ্রেস হাইড্রেশেন বডি লোশন ৪০০ মিলি</li>\n</ul>\n,"বডী,লোসন,স্কিন,bodi,loton,skincare,skin,nivia"
